day	zone	timeslot	price
2025-01-07	HU	20250107-1400	108.150000
2025-01-07	HU	20250107-1500	118.440000
2025-01-07	HU	20250107-1600	121.880000
2025-01-07	HU	20250107-1700	126.200000
2025-01-07	HU	20250107-1800	113.840000
2025-01-07	HU	20250107-1900	108.150000
2025-01-07	HU	20250107-2000	108.150000
2025-01-07	HU	20250107-2100	108.150000
2025-01-07	HU	20250107-2200	107.150000
2025-01-07	HU	20250107-2300	106.340000
2025-01-07	IT-CNORTH	20250107-0000	107.150000
2025-01-07	IT-CNORTH	20250107-0100	97.520000
2025-01-07	IT-CNORTH	20250107-0200	96.770000
2025-01-07	IT-CNORTH	20250107-0300	97.920000
2025-01-07	IT-CNORTH	20250107-0400	114.240000
2025-01-07	IT-CNORTH	20250107-0500	129.780000
2025-01-07	IT-CNORTH	20250107-0600	129.780000
2025-01-07	IT-CNORTH	20250107-0700	129.780000
2025-01-07	IT-CNORTH	20250107-0800	129.780000
2025-01-07	IT-CNORTH	20250107-0900	129.780000
2025-01-07	IT-CNORTH	20250107-1000	129.780000
2025-01-07	IT-CNORTH	20250107-1100	129.780000
2025-01-07	IT-CNORTH	20250107-1200	129.780000
2025-01-07	IT-CNORTH	20250107-1300	129.780000
2025-01-07	IT-CNORTH	20250107-1400	129.780000
2025-01-07	IT-CNORTH	20250107-1500	129.780000
2025-01-07	IT-CNORTH	20250107-1600	199.220000
2025-01-07	IT-CNORTH	20250107-1700	177.470000
2025-01-07	IT-CNORTH	20250107-1800	138.340000
2025-01-07	IT-CNORTH	20250107-1900	129.780000
2025-01-07	IT-CNORTH	20250107-2000	129.780000
2025-01-07	IT-CNORTH	20250107-2100	129.780000
2025-01-07	IT-CNORTH	20250107-2200	129.780000
2025-01-07	IT-CNORTH	20250107-2300	129.780000
2025-01-07	IT-CSOUTH	20250107-0000	107.150000
2025-01-07	IT-CSOUTH	20250107-0100	97.520000
2025-01-07	IT-CSOUTH	20250107-0200	96.770000
2025-01-07	IT-CSOUTH	20250107-0300	97.920000
2025-01-07	IT-CSOUTH	20250107-0400	114.240000
2025-01-07	IT-CSOUTH	20250107-0500	129.780000
2025-01-07	IT-CSOUTH	20250107-0600	129.780000
2025-01-07	IT-CSOUTH	20250107-0700	129.780000
2025-01-07	IT-CSOUTH	20250107-0800	129.780000
2025-01-07	IT-CSOUTH	20250107-0900	129.780000
2025-01-07	IT-CSOUTH	20250107-1000	129.780000
2025-01-07	IT-CSOUTH	20250107-1100	129.780000
2025-01-07	IT-CSOUTH	20250107-1200	129.780000
2025-01-07	IT-CSOUTH	20250107-1300	129.780000
2025-01-07	IT-CSOUTH	20250107-1400	129.780000
2025-01-07	IT-CSOUTH	20250107-1500	129.780000
2025-01-07	IT-CSOUTH	20250107-1600	199.220000
2025-01-07	IT-CSOUTH	20250107-1700	177.470000
2025-01-07	IT-CSOUTH	20250107-1800	138.340000
2025-01-07	IT-CSOUTH	20250107-1900	129.780000
2025-01-07	IT-CSOUTH	20250107-2000	129.780000
2025-01-07	IT-CSOUTH	20250107-2100	129.780000
2025-01-07	IT-CSOUTH	20250107-2200	129.780000
2025-01-07	IT-CSOUTH	20250107-2300	129.780000
2025-01-07	IT-Calabria	20250107-0000	107.150000
2025-01-07	IT-Calabria	20250107-0100	97.520000
2025-01-07	IT-Calabria	20250107-0200	96.770000
2025-01-07	IT-Calabria	20250107-0300	97.920000
2025-01-07	IT-Calabria	20250107-0400	114.240000
2025-01-07	IT-Calabria	20250107-0500	129.780000
2025-01-07	IT-Calabria	20250107-0600	129.780000
2025-01-07	IT-Calabria	20250107-0700	129.780000
2025-01-07	IT-Calabria	20250107-0800	129.780000
2025-01-07	IT-Calabria	20250107-0900	129.780000
2025-01-07	IT-Calabria	20250107-1000	129.780000
2025-01-07	IT-Calabria	20250107-1100	129.780000
2025-01-07	IT-Calabria	20250107-1200	129.780000
2025-01-07	IT-Calabria	20250107-1300	129.780000
2025-01-07	IT-Calabria	20250107-1400	129.780000
2025-01-07	IT-Calabria	20250107-1500	129.780000
2025-01-07	IT-Calabria	20250107-1600	199.220000
2025-01-07	IT-Calabria	20250107-1700	177.470000
2025-01-07	IT-Calabria	20250107-1800	138.340000
2025-01-07	IT-Calabria	20250107-1900	129.780000
2025-01-07	IT-Calabria	20250107-2000	129.780000
2025-01-07	IT-Calabria	20250107-2100	129.780000
2025-01-07	IT-Calabria	20250107-2200	129.780000
2025-01-07	IT-Calabria	20250107-2300	129.780000
2025-01-07	IT-NORTH	20250107-0000	107.150000
2025-01-07	IT-NORTH	20250107-0100	97.520000
2025-01-07	IT-NORTH	20250107-0200	96.770000
2025-01-07	IT-NORTH	20250107-0300	97.920000
2025-01-07	IT-NORTH	20250107-0400	114.240000
2025-01-07	IT-NORTH	20250107-0500	129.780000
2025-01-07	IT-NORTH	20250107-0600	129.780000
2025-01-07	IT-NORTH	20250107-0700	129.780000
2025-01-07	IT-NORTH	20250107-0800	129.780000
2025-01-07	IT-NORTH	20250107-0900	129.780000
2025-01-07	IT-NORTH	20250107-1000	129.780000
2025-01-07	IT-NORTH	20250107-1100	129.780000
2025-01-07	IT-NORTH	20250107-1200	129.780000
2025-01-07	IT-NORTH	20250107-1300	129.780000
2025-01-07	IT-NORTH	20250107-1400	129.780000
2025-01-07	IT-NORTH	20250107-1500	129.780000
2025-01-07	IT-NORTH	20250107-1600	199.220000
2025-01-07	IT-NORTH	20250107-1700	177.470000
2025-01-07	IT-NORTH	20250107-1800	138.340000
2025-01-07	IT-NORTH	20250107-1900	129.780000
2025-01-07	IT-NORTH	20250107-2000	129.780000
2025-01-07	IT-NORTH	20250107-2100	129.780000
2025-01-07	IT-NORTH	20250107-2200	129.780000
2025-01-07	IT-NORTH	20250107-2300	129.780000
2025-01-07	IT-SOUTH	20250107-0000	107.150000
2025-01-07	IT-SOUTH	20250107-0100	97.520000
2025-01-07	IT-SOUTH	20250107-0200	96.770000
2025-01-07	IT-SOUTH	20250107-0300	97.920000
2025-01-07	IT-SOUTH	20250107-0400	114.240000
2025-01-07	IT-SOUTH	20250107-0500	129.780000
2025-01-07	IT-SOUTH	20250107-0600	129.780000
2025-01-07	IT-SOUTH	20250107-0700	129.780000
2025-01-07	IT-SOUTH	20250107-0800	129.780000
2025-01-07	IT-SOUTH	20250107-0900	129.780000
2025-01-07	IT-SOUTH	20250107-1000	129.780000
2025-01-07	IT-SOUTH	20250107-1100	129.780000
2025-01-07	IT-SOUTH	20250107-1200	129.780000
2025-01-07	IT-SOUTH	20250107-1300	129.780000
2025-01-07	IT-SOUTH	20250107-1400	129.780000
2025-01-07	IT-SOUTH	20250107-1500	129.780000
2025-01-07	IT-SOUTH	20250107-1600	199.220000
2025-01-07	IT-SOUTH	20250107-1700	177.470000
2025-01-07	IT-SOUTH	20250107-1800	138.340000
2025-01-07	IT-SOUTH	20250107-1900	129.780000
2025-01-07	IT-SOUTH	20250107-2000	129.780000
2025-01-07	IT-SOUTH	20250107-2100	129.780000
2025-01-07	IT-SOUTH	20250107-2200	129.780000
2025-01-07	IT-SOUTH	20250107-2300	129.780000
2025-01-07	IT-Sardinia	20250107-0000	107.150000
2025-01-07	IT-Sardinia	20250107-0100	97.520000
2025-01-07	IT-Sardinia	20250107-0200	96.770000
2025-01-07	IT-Sardinia	20250107-0300	97.920000
2025-01-07	IT-Sardinia	20250107-0400	114.240000
2025-01-07	IT-Sardinia	20250107-0500	129.780000
2025-01-07	IT-Sardinia	20250107-0600	129.780000
2025-01-07	IT-Sardinia	20250107-0700	129.780000
2025-01-07	IT-Sardinia	20250107-0800	129.780000
2025-01-07	IT-Sardinia	20250107-0900	129.780000
2025-01-07	IT-Sardinia	20250107-1000	125.640000
2025-01-07	IT-Sardinia	20250107-1100	125.500000
2025-01-07	IT-Sardinia	20250107-1200	114.240000
2025-01-07	IT-Sardinia	20250107-1300	85.500000
2025-01-07	IT-Sardinia	20250107-1400	114.240000
2025-01-07	IT-Sardinia	20250107-1500	125.640000
2025-01-07	IT-Sardinia	20250107-1600	129.780000
2025-01-07	IT-Sardinia	20250107-1700	129.780000
2025-01-07	IT-Sardinia	20250107-1800	129.780000
2025-01-07	IT-Sardinia	20250107-1900	129.780000
2025-01-07	IT-Sardinia	20250107-2000	129.780000
2025-01-07	IT-Sardinia	20250107-2100	129.780000
2025-01-07	IT-Sardinia	20250107-2200	125.640000
2025-01-07	IT-Sardinia	20250107-2300	114.240000
2025-01-07	IT-Sicily	20250107-0000	107.150000
2025-01-07	IT-Sicily	20250107-0100	97.520000
2025-01-07	IT-Sicily	20250107-0200	96.770000
2025-01-07	IT-Sicily	20250107-0300	97.920000
2025-01-07	IT-Sicily	20250107-0400	114.240000
2025-01-07	IT-Sicily	20250107-0500	129.780000
2025-01-07	IT-Sicily	20250107-0600	129.780000
2025-01-07	IT-Sicily	20250107-0700	129.780000
2025-01-07	IT-Sicily	20250107-0800	129.780000
2025-01-07	IT-Sicily	20250107-0900	129.780000
2025-01-07	IT-Sicily	20250107-1000	129.780000
2025-01-07	IT-Sicily	20250107-1100	129.780000
2025-01-07	IT-Sicily	20250107-1200	129.780000
2025-01-07	IT-Sicily	20250107-1300	129.780000
2025-01-07	IT-Sicily	20250107-1400	129.780000
2025-01-07	IT-Sicily	20250107-1500	129.780000
2025-01-07	IT-Sicily	20250107-1600	199.220000
2025-01-07	IT-Sicily	20250107-1700	177.470000
2025-01-07	IT-Sicily	20250107-1800	138.340000
2025-01-07	IT-Sicily	20250107-1900	129.780000
2025-01-07	IT-Sicily	20250107-2000	129.780000
2025-01-07	IT-Sicily	20250107-2100	129.780000
2025-01-07	IT-Sicily	20250107-2200	129.780000
2025-01-07	IT-Sicily	20250107-2300	129.780000
2025-01-07	LT	20250107-0000	5.690000
2025-01-07	LT	20250107-0100	5.690000
2025-01-07	LT	20250107-0200	5.690000
2025-01-07	LT	20250107-0300	11.960000
2025-01-07	LT	20250107-0400	13.870000
2025-01-07	LT	20250107-0500	75.340000
2025-01-07	LT	20250107-0600	92.970000
2025-01-07	LT	20250107-0700	94.690000
2025-01-07	LT	20250107-0800	94.290000
2025-01-07	LT	20250107-0900	92.840000
2025-01-07	LT	20250107-1000	92.330000
2025-01-07	LT	20250107-1100	92.970000
2025-01-07	LT	20250107-1200	94.900000
2025-01-07	LT	20250107-1300	97.550000
2025-01-07	LT	20250107-1400	98.480000
2025-01-07	LT	20250107-1500	101.450000
2025-01-07	LT	20250107-1600	96.140000
2025-01-07	LT	20250107-1700	80.330000
2025-01-07	LT	20250107-1800	83.840000
2025-01-07	LT	20250107-1900	83.850000
2025-01-07	LT	20250107-2000	73.840000
2025-01-07	LT	20250107-2100	52.580000
2025-01-07	LT	20250107-2200	46.180000
2025-01-07	LT	20250107-2300	26.730000
2025-01-07	LV	20250107-0000	5.690000
2025-01-07	LV	20250107-0100	5.690000
2025-01-07	LV	20250107-0200	5.690000
2025-01-07	LV	20250107-0300	11.960000
2025-01-07	LV	20250107-0400	13.870000
2025-01-07	LV	20250107-0500	75.340000
2025-01-07	LV	20250107-0600	92.970000
