EU	IT-Calabria	20260303-1800	122.2400000000
EU	IT-Calabria	20260303-1900	122.2400000000
EU	IT-Calabria	20260303-2000	122.2400000000
EU	IT-Calabria	20260303-2100	122.2400000000
EU	IT-Calabria	20260303-2200	122.2400000000
EU	IT-Calabria	20260303-2300	122.2400000000
EU	IT-NORTH	20260303-0000	122.2400000000
EU	IT-NORTH	20260303-0100	122.2400000000
EU	IT-NORTH	20260303-0200	122.2400000000
EU	IT-NORTH	20260303-0300	122.2400000000
EU	IT-NORTH	20260303-0400	122.2400000000
EU	IT-NORTH	20260303-0500	122.2400000000
EU	IT-NORTH	20260303-0600	294.6000000000
EU	IT-NORTH	20260303-0700	398.9800000000
EU	IT-NORTH	20260303-0800	321.9600000000
EU	IT-NORTH	20260303-0900	248.6400000000
EU	IT-NORTH	20260303-1000	211.1500000000
EU	IT-NORTH	20260303-1100	160.3800000000
EU	IT-NORTH	20260303-1200	160.5200000000
EU	IT-NORTH	20260303-1300	177.4500000000
EU	IT-NORTH	20260303-1400	204.1900000000
EU	IT-NORTH	20260303-1500	251.6100000000
EU	IT-NORTH	20260303-1600	331.1900000000
EU	IT-NORTH	20260303-1700	378.3600000000
EU	IT-NORTH	20260303-1800	395.9900000000
EU	IT-NORTH	20260303-1900	229.2300000000
EU	IT-NORTH	20260303-2000	123.8000000000
EU	IT-NORTH	20260303-2100	122.2400000000
EU	IT-NORTH	20260303-2200	122.2400000000
EU	IT-NORTH	20260303-2300	122.2400000000
EU	IT-SOUTH	20260303-0000	122.2400000000
EU	IT-SOUTH	20260303-0100	122.2400000000
EU	IT-SOUTH	20260303-0200	122.2400000000
EU	IT-SOUTH	20260303-0300	122.2400000000
EU	IT-SOUTH	20260303-0400	122.2400000000
EU	IT-SOUTH	20260303-0500	122.2400000000
EU	IT-SOUTH	20260303-0600	122.2400000000
EU	IT-SOUTH	20260303-0700	122.2400000000
EU	IT-SOUTH	20260303-0800	122.2400000000
EU	IT-SOUTH	20260303-0900	122.2400000000
EU	IT-SOUTH	20260303-1000	122.2400000000
EU	IT-SOUTH	20260303-1100	122.2400000000
EU	IT-SOUTH	20260303-1200	122.2400000000
EU	IT-SOUTH	20260303-1300	122.2400000000
EU	IT-SOUTH	20260303-1400	122.2400000000
EU	IT-SOUTH	20260303-1500	122.2400000000
EU	IT-SOUTH	20260303-1600	122.2400000000
EU	IT-SOUTH	20260303-1700	122.2400000000
