mode	day	zone	timeslot	price
1z	2026-01-15	HU	20260115-1445	159.570000
1z	2026-01-15	HU	20260115-1315	110.300000
1z	2026-01-15	HU	20260115-1515	159.570000
1z	2026-01-15	HU	20260115-2145	87.080000
1z	2026-01-15	HU	20260115-0800	87.080000
1z	2026-01-15	HU	20260115-0930	87.080000
1z	2026-01-15	HU	20260115-1630	126.620000
1z	2026-01-15	HU	20260115-1345	126.620000
1z	2026-01-15	HU	20260115-1930	110.300000
1z	2026-01-15	HU	20260115-0230	87.080000
1z	2026-01-15	HU	20260115-0700	87.080000
1z	2026-01-15	HU	20260115-0130	87.080000
1z	2026-01-15	HU	20260115-2245	87.080000
1z	2026-01-15	HU	20260115-0945	87.080000
1z	2026-01-15	HU	20260115-1945	108.660000
1z	2026-01-15	HU	20260115-0400	87.080000
1z	2026-01-15	HU	20260115-0715	87.080000
1z	2026-01-15	HU	20260115-1115	87.080000
1z	2026-01-15	HU	20260115-1130	87.080000
1z	2026-01-15	HU	20260115-1015	87.080000
1z	2026-01-15	HU	20260115-2230	87.080000
1z	2026-01-15	HU	20260115-1330	110.300000
1z	2026-01-15	HU	20260115-1815	126.620000
1z	2026-01-15	HU	20260115-0645	110.300000
1z	2026-01-15	HU	20260115-0830	87.080000
1z	2026-01-15	HU	20260115-0030	87.080000
1z	2026-01-15	HU	20260115-2030	87.080000
5z	2026-01-15	BG	20260115-0000	122.920000
5z	2026-01-15	BG	20260115-0100	121.980000
5z	2026-01-15	BG	20260115-0200	126.620000
5z	2026-01-15	BG	20260115-0300	126.620000
5z	2026-01-15	BG	20260115-0400	136.950000
5z	2026-01-15	BG	20260115-0500	278.290000
5z	2026-01-15	BG	20260115-0600	3000.000000
5z	2026-01-15	BG	20260115-0700	586.340000
5z	2026-01-15	BG	20260115-0800	316.510000
5z	2026-01-15	BG	20260115-0900	305.960000
5z	2026-01-15	BG	20260115-1000	150.070000
5z	2026-01-15	BG	20260115-1100	215.380000
5z	2026-01-15	BG	20260115-1200	317.550000
5z	2026-01-15	BG	20260115-1300	262.100000
