window	arm	zone	n	corr	mae	bias	sim_mean	act_mean
mar	B	NO3	191	-0.2182	22.457	12.956	89.969	77.013
mar	B	NO4	191	-0.0479	15.117	11.502	35.476	23.974
mar	B	NO5	191	0.6472	12.857	-10.684	92.722	103.406
mar	B	PL	191	0.7974	36.165	-19.034	85.366	104.399
mar	B	PT	191	0.8399	28.110	26.262	77.098	50.836
mar	B	RO	191	0.9159	19.050	1.272	100.840	99.568
mar	B	RS	191	0.8625	23.426	14.105	100.798	86.693
mar	B	SE1	191	0.6680	19.249	-7.287	20.205	27.492
mar	B	SE2	191	0.5244	23.611	-0.067	28.223	28.290
mar	B	SE3	191	0.3089	29.488	26.268	91.495	65.226
mar	B	SE4	191	0.7174	28.702	-21.668	78.361	100.030
mar	B	SI	191	0.8471	28.840	-19.675	83.914	103.589
mar	B	SK	191	0.7844	38.443	-19.083	86.860	105.943
