zone	timeslot	price
IT-CSOUTH	20260301-0100	96.16
IT-CSOUTH	20260301-1100	96.16
IT-CSOUTH	20260301-2100	96.16
IT-CSOUTH	20260301-1700	96.16
IT-CSOUTH	20260301-1600	96.16
IT-CSOUTH	20260301-0700	96.16
IT-CSOUTH	20260301-2000	96.16
IT-CSOUTH	20260301-2200	96.16
IT-CSOUTH	20260301-2300	96.16
IT-CSOUTH	20260301-1000	96.16
IT-CSOUTH	20260301-1800	96.16
IT-CSOUTH	20260301-0300	96.16
IT-CSOUTH	20260301-1300	96.16
IT-CSOUTH	20260301-0000	96.16
IT-CSOUTH	20260301-0600	96.16
IT-CSOUTH	20260301-0200	96.16
IT-CSOUTH	20260301-0900	96.16
IT-CSOUTH	20260301-1400	96.16
CZ	20260301-0500	84.35
CZ	20260301-1200	75.34
CZ	20260301-1500	91.58
CZ	20260301-0400	80.13
CZ	20260301-0800	80.13
CZ	20260301-1900	102.13
CZ	20260301-0100	71.7
CZ	20260301-1100	80.13
CZ	20260301-2100	91.58
CZ	20260301-1700	102.13
CZ	20260301-1600	102.13
CZ	20260301-0700	84.35
CZ	20260301-2000	102.13
CZ	20260301-2200	91.58
CZ	20260301-2300	91.58
CZ	20260301-1000	80.13
CZ	20260301-1800	102.13
CZ	20260301-0300	80.13
CZ	20260301-1300	63
CZ	20260301-0000	71.82
CZ	20260301-0600	84.35
CZ	20260301-0200	75.09
CZ	20260301-0900	80.13
CZ	20260301-1400	80.13
NO3	20260301-0500	72.12
NO3	20260301-1200	58.03
NO3	20260301-1500	80.98
NO3	20260301-0400	72.12
NO3	20260301-0800	80.13
NO3	20260301-1900	91.58
NO3	20260301-0100	61.71
NO3	20260301-1100	60.58
NO3	20260301-2100	80.13
NO3	20260301-1700	96.85
NO3	20260301-1600	96.33
NO3	20260301-0700	80.13
NO3	20260301-2000	91.58
NO3	20260301-2200	80.13
NO3	20260301-2300	72.12
NO3	20260301-1000	60.7
NO3	20260301-1800	96.33
NO3	20260301-0300	72.12
NO3	20260301-1300	68.56
NO3	20260301-0000	68.56
NO3	20260301-0600	72.12
NO3	20260301-0200	64.44
NO3	20260301-0900	71.58
NO3	20260301-1400	80.13
NO1	20260301-0500	72.12
NO1	20260301-1200	52.23
NO1	20260301-1500	72.88
NO1	20260301-0400	72.12
NO1	20260301-0800	72.12
NO1	20260301-1900	82.42
NO1	20260301-0100	61.71
NO1	20260301-1100	54.52
NO1	20260301-2100	72.12
NO1	20260301-1700	84.35
NO1	20260301-1600	84.35
NO1	20260301-0700	72.12
NO1	20260301-2000	82.42
NO1	20260301-2200	72.12
NO1	20260301-2300	72.12
NO1	20260301-1000	54.63
NO1	20260301-1800	84.35
NO1	20260301-0300	72.12
NO1	20260301-1300	61.71
NO1	20260301-0000	61.71
NO1	20260301-0600	72.12
NO1	20260301-0200	64.44
NO1	20260301-0900	64.43
NO1	20260301-1400	72.12
DE_LU	20260301-0500	84.35
DE_LU	20260301-1200	57
DE_LU	20260301-1500	84.35
DE_LU	20260301-0400	80.13
DE_LU	20260301-0800	80.13
DE_LU	20260301-1900	91.58
DE_LU	20260301-0100	69.06
DE_LU	20260301-1100	56.4
DE_LU	20260301-2100	84.35
DE_LU	20260301-1700	102.13
DE_LU	20260301-1600	101.08
DE_LU	20260301-0700	84.35
DE_LU	20260301-2000	91.58
DE_LU	20260301-2200	84.35
DE_LU	20260301-2300	80.13
DE_LU	20260301-1000	57
DE_LU	20260301-1800	101.08
DE_LU	20260301-0300	80.13
DE_LU	20260301-1300	63
DE_LU	20260301-0000	63
DE_LU	20260301-0600	84.35
DE_LU	20260301-0200	75.09
DE_LU	20260301-0900	78.2
DE_LU	20260301-1400	80.13
SK	20260301-0500	72.12
SK	20260301-1200	52.23
SK	20260301-1500	72.88
SK	20260301-0400	72.12
SK	20260301-0800	72.12
SK	20260301-1900	82.42
SK	20260301-0100	61.71
SK	20260301-1100	54.52
SK	20260301-2100	72.12
SK	20260301-1700	84.35
SK	20260301-1600	84.35
SK	20260301-0700	72.12
SK	20260301-2000	82.42
SK	20260301-2200	72.12
SK	20260301-2300	72.12
SK	20260301-1000	54.63
