zone	rule	period	n_hours	mae_mw	median_ae_mw
SE2	ana8b	jul26	504	420.4371655692454	397.8386962812499
SE2	ana8b	jul26_evening	84	370.39653484555697	293.65371099999993
SE2	ana16	all	18024	413.6637016493444	328.40281249999964
SE2	ana16	evening	3004	411.7514124279819	320.7415141875001
SE2	ana16	jul26	504	412.91648012462804	362.6517947812504
SE2	ana16	jul26_evening	84	320.2482969136904	328.5774039687499
SE2	ana16b	all	18024	421.2379878620192	344.1860446249998
SE2	ana16b	evening	3004	423.35531697169995	330.5647767187497
SE2	ana16b	jul26	504	422.6880711616314	413.4246826562503
SE2	ana16b	jul26_evening	84	372.5557700438456	324.6957084843749
SE2	ana8w	all	18024	481.5865532989218	384.1302280000001
SE2	ana8w	evening	3004	495.4512178249734	410.46413315625
SE2	ana8w	jul26	504	393.342394109747	336.64699625000026
SE2	ana8w	jul26_evening	84	351.44280597321426	302.10364181249975
SE2	ana16w	all	18024	451.50184583175303	356.8331677499996
SE2	ana16w	evening	3004	469.14819595767153	372.78375000000005
SE2	ana16w	jul26	504	398.7223145274058	342.4282744687499
SE2	ana16w	jul26_evening	84	326.7739385260417	276.0350316874998
SE2	anad2	all	18024	400.2954034599522	320.3083165781251
SE2	anad2	evening	3004	389.660627720942	311.40480360937477
SE2	anad2	jul26	504	392.93479090905197	357.8549744843749
SE2	anad2	jul26_evening	84	330.1083711610331	289.1995707187499
SE2	anad2w	all	18024	406.7925831389474	325.8975608749997
SE2	anad2w	evening	3004	402.2914188149922	322.48130342187494
SE2	anad2w	jul26	504	387.3705469214528	339.27919657812504
SE2	anad2w	jul26_evening	84	328.86862374845884	275.42651057812543
SE2	ana16wb	all	18024	421.2379878620192	344.1860446249998
SE2	ana16wb	evening	3004	423.35531697169995	330.5647767187497
SE2	ana16wb	jul26	504	422.6880711616314	413.4246826562503
SE2	ana16wb	jul26_evening	84	372.5557700438456	324.6957084843749
SE2	v3	all	18024	501.7704847925195	412.6531126250002
SE2	v3	evening	3004	498.3428456628464	396.6855766250002
SE2	v3	jul26	504	516.9746396109364	428.71019075000004
SE2	v3	jul26_evening	84	483.9411047610545	398.09043787500013
SE3	v2	all	18024	513.8382442869467	429.3994641875001
SE3	v2	evening	3004	498.60563615227716	416.95662812499995
SE3	v2	jul26	504	507.6110874957979	455.2862898125003
SE3	v2	jul26_evening	84	480.30985809162405	401.3301312499998
SE3	rec3	all	18024	521.019788240258	428.3487500000001
SE3	rec3	evening	3004	490.2987053315748	411.0969191249998
SE3	rec3	jul26	504	555.3002605587727	461.6433788125001
SE3	rec3	jul26_evening	84	533.8729334064626	474.7804608749999
SE3	d2	all	18024	527.6846701046503	435.53404400000005
SE3	d2	evening	3004	498.35570376368213	407.218125
SE3	d2	jul26	504	457.0541659284651	413.7920522499999
SE3	d2	jul26_evening	84	371.7324531466836	374.41149518750035
SE3	ana8	all	18024	468.12242869871284	403.4900000000001
SE3	ana8	evening	3004	442.93157761269396	382.8221477500002
SE3	ana8	jul26	504	391.52763528927505	316.69943503125035
SE3	ana8	jul26_evening	84	371.284163907738	288.99765803125007
SE3	ana8b	all	18024	431.3850678923052	369.58359375
SE3	ana8b	evening	3004	417.58714972966845	361.4303124999999
SE3	ana8b	jul26	504	321.03158574689803	260.6545646093748
SE3	ana8b	jul26_evening	84	324.624771465827	336.92186971875003
SE3	ana16	all	18024	457.4958141222374	389.97375
SE3	ana16	evening	3004	435.1345781216137	375.80608725000025
SE3	ana16	jul26	504	342.1824292951034	283.0905323437501
SE3	ana16	jul26_evening	84	342.65255618877546	297.84690568749966
SE3	ana16b	all	18024	426.3743965379556	361.93140625000024
SE3	ana16b	evening	3004	416.42696135430447	356.8537107187499
SE3	ana16b	jul26	504	305.6597745078727	245.1774088437505
SE3	ana16b	jul26_evening	84	296.2054516388181	284.82838818749974
SE3	ana8w	all	18024	497.01961065652955	433.4178125000003
SE3	ana8w	evening	3004	472.6603951353453	414.6834375000001
SE3	ana8w	jul26	504	577.9013624502727	531.7879633124999
SE3	ana8w	jul26_evening	84	527.2761639754464	484.05163453125033
SE3	ana16w	all	18024	482.38203435085023	415.3734375
SE3	ana16w	evening	3004	463.29429303202477	405.36406250000005
SE3	ana16w	jul26	504	519.3521539032738	483.4044688749996
SE3	ana16w	jul26_evening	84	441.3365975193453	375.2745315625
SE3	anad2	all	18024	418.92425865768365	348.1812626874997
SE3	anad2	evening	3004	404.1053866130516	337.4748437500001
SE3	anad2	jul26	504	331.3512884990079	270.2424411250002
SE3	anad2	jul26_evening	84	283.36368308014454	253.53940260937497
SE3	anad2w	all	18024	424.04968879328106	359.7571726875002
SE3	anad2w	evening	3004	411.2687226942113	342.11484375000043
SE3	anad2w	jul26	504	340.7320351719459	274.23401225000003
SE3	anad2w	jul26_evening	84	277.1408534587584	200.8450272812497
SE3	ana16wb	all	18024	426.3743965379556	361.93140625000024
SE3	ana16wb	evening	3004	416.42696135430447	356.8537107187499
SE3	ana16wb	jul26	504	305.6597745078727	245.1774088437505
SE3	ana16wb	jul26_evening	84	296.2054516388181	284.82838818749974
SE3	v3	all	18024	513.8382442869467	429.3994641875001
SE3	v3	evening	3004	498.60563615227716	416.95662812499995
