zone	cp	rule	n_days	mae_mw
FR	BE	ana16b	751	482.6455674102135
FR	CH	ana16b	751	361.48584628481467
FR	DE_LU	ana16b	751	374.5352928580238
FR	ES	ana16b	751	655.1737240103473
FR	GB	ana16b	751	449.3936198142814
FR	GB_ElecLink	ana16b	751	134.64271942964933
FR	GB_IFA	ana16b	751	236.85152479815562
FR	GB_IFA2	ana16b	751	183.65751571877593
FR	IT-NORTH	ana16b	751	280.2862395625278
FR	BE	v3	751	482.6455674102135
FR	CH	v3	751	361.48584628481467
FR	DE_LU	v3	751	374.5352928580238
FR	ES	v3	751	655.1737240103473
FR	GB	v3	751	449.3936198142814
FR	GB_ElecLink	v3	751	134.64271942964933
FR	GB_IFA	v3	751	236.85152479815562
FR	GB_IFA2	v3	751	183.65751571877593
FR	IT-NORTH	v3	751	280.2862395625278
GR	AL	v2	751	82.83096375665778
GR	BG	v2	751	129.16430204172215
GR	IT-SOUTH	v2	751	98.95100282956058
GR	MK	v2	751	139.62628134709274
GR	TR	v2	751	45.602746458827845
GR	AL	rec3	751	83.2913384376387
GR	BG	rec3	751	120.74636706613404
GR	IT-SOUTH	rec3	751	86.8140812250333
GR	MK	rec3	751	140.68690745672436
GR	TR	rec3	751	44.519537355989115
GR	AL	ana8	751	86.01354080670218
GR	BG	ana8	751	134.45352529960053
GR	IT-SOUTH	ana8	751	103.37280847758542
GR	MK	ana8	751	151.48590781735462
GR	TR	ana8	751	46.23014664022848
GR	AL	ana8b	751	80.71842900438304
GR	BG	ana8b	751	123.66010486018641
GR	IT-SOUTH	ana8b	751	96.90845886040833
GR	MK	ana8b	751	137.21788206003106
GR	TR	ana8b	751	43.24874382465891
GR	AL	ana16	751	82.90754414946738
GR	BG	ana16	751	131.49806591211717
GR	IT-SOUTH	ana16	751	100.4209595539281
GR	MK	ana16	751	148.9076122114958
GR	TR	ana16	751	45.31165812732781
GR	AL	ana16b	751	79.75732477529961
GR	BG	ana16b	751	122.77298158011541
GR	IT-SOUTH	ana16b	751	95.7771096870839
GR	MK	ana16b	751	136.61776124889036
GR	TR	ana16b	751	42.931028254597734
GR	AL	v3	751	79.75732477529961
GR	BG	v3	751	122.77298158011541
GR	IT-SOUTH	v3	751	95.7771096870839
GR	MK	v3	751	136.61776124889036
GR	TR	v3	751	42.931028254597734
HU	AT	v2	751	200.33612729901802
HU	HR	v2	751	148.4395909620506
HU	RO	v2	751	106.48676105123722
HU	RS	v2	751	86.46906682825676
HU	SI	v2	751	72.67309021651687
HU	SK	v2	751	266.35310584498444
HU	UA	v2	751	108.13723558519197
HU	UA_IPS	v2	751	108.13702525452175
HU	AT	rec3	751	204.07517568935862
HU	HR	rec3	751	145.21103112516644
HU	RO	rec3	751	109.24963630437193
HU	RS	rec3	751	85.60901445017754
HU	SI	rec3	751	70.45073821016423
HU	SK	rec3	751	257.30180687555486
HU	UA	rec3	751	107.3681333846538
HU	UA_IPS	rec3	751	107.36792070988683
HU	AT	ana8	751	202.21279704837994
HU	HR	ana8	751	153.76933907567687
HU	RO	ana8	751	118.49750688318353
HU	RS	ana8	751	88.93044147248112
HU	SI	ana8	751	84.07028499153905
HU	SK	ana8	751	258.31249111254436
HU	UA	ana8	751	121.61014071862517
HU	UA_IPS	ana8	751	121.60986150063805
