day,arm,zone,ts,price
2025-07-15,B_on,NL,20250715-1700,86.63
2025-07-15,B_on,NL,20250715-2000,92.71
2025-07-15,B_on,NL,20250715-1200,23.75
2025-07-15,B_on,NL,20250715-0000,86.63
2025-07-15,B_on,NL,20250715-1500,86.63
2025-07-15,B_on,NL,20250715-0600,86.63
2025-07-15,B_on,NL,20250715-1400,86.63
2025-07-15,B_on,NL,20250715-0700,86.63
2025-07-15,B_on,NL,20250715-2300,92.71
2025-07-15,B_on,NL,20250715-1000,31.25
2025-07-15,B_on,NL,20250715-1300,51.19
2025-07-15,B_on,NL,20250715-1100,9.5
2025-07-15,B_on,NL,20250715-0800,86.63
2025-07-15,B_on,NL,20250715-2100,92.71
2025-07-15,B_on,NL,20250715-0200,86.63
2025-07-15,B_on,NL,20250715-2200,91.19
2025-07-15,B_on,NL,20250715-0500,91.19
2025-07-15,B_on,NL,20250715-1600,86.63
2025-07-15,B_on,NL,20250715-0400,86.63
2025-07-15,B_on,NL,20250715-0300,86.63
2025-07-15,B_on,NL,20250715-1800,86.63
2025-07-15,B_on,NL,20250715-0900,51.19
2025-07-15,B_on,NL,20250715-0100,86.63
2025-07-15,B_on,NL,20250715-1900,92.71
2025-07-15,B_on,BE,20250715-1700,85.64
2025-07-15,B_on,BE,20250715-2000,88.38
2025-07-15,B_on,BE,20250715-1200,39.18
2025-07-15,B_on,BE,20250715-0000,80.7
2025-07-15,B_on,BE,20250715-1500,77.97
2025-07-15,B_on,BE,20250715-0600,80.7
2025-07-15,B_on,BE,20250715-1400,83.45
2025-07-15,B_on,BE,20250715-0700,80.7
2025-07-15,B_on,BE,20250715-2300,83.44
2025-07-15,B_on,BE,20250715-1000,10.5
2025-07-15,B_on,BE,20250715-1300,52.39
2025-07-15,B_on,BE,20250715-1100,12.6
2025-07-15,B_on,BE,20250715-0800,63.14
2025-07-15,B_on,BE,20250715-2100,88.38
2025-07-15,B_on,BE,20250715-0200,80.7
2025-07-15,B_on,BE,20250715-2200,84.98
2025-07-15,B_on,BE,20250715-0500,86.63
2025-07-15,B_on,BE,20250715-1600,80.7
2025-07-15,B_on,BE,20250715-0400,85.64
2025-07-15,B_on,BE,20250715-0300,80.7
2025-07-15,B_on,BE,20250715-1800,85.64
2025-07-15,B_on,BE,20250715-0900,51.19
2025-07-15,B_on,BE,20250715-0100,80.7
2025-07-15,B_on,BE,20250715-1900,91.19
2025-07-15,B_on,DE_LU,20250715-1700,103.69
2025-07-15,B_on,DE_LU,20250715-2000,103.69
2025-07-15,B_on,DE_LU,20250715-1200,63.0
2025-07-15,B_on,DE_LU,20250715-0000,92.71
