day,arm,zone,ts,price
2025-05-01,B_on,BE,20250501-1800,84.11
2025-05-01,B_on,BE,20250501-2000,89.5
2025-05-01,B_on,BE,20250501-1500,68.76
2025-05-01,B_on,BE,20250501-1300,10.5
2025-05-01,B_on,BE,20250501-0700,58.14
2025-05-01,B_on,BE,20250501-0100,80.55
2025-05-01,B_on,BE,20250501-0800,12.55
2025-05-01,B_on,BE,20250501-0900,9.5
2025-05-01,B_on,BE,20250501-1100,9.5
2025-05-01,B_on,BE,20250501-0200,80.55
2025-05-01,B_on,BE,20250501-2300,79.9
2025-05-01,B_on,BE,20250501-0400,80.55
2025-05-01,B_on,BE,20250501-1900,95.88
2025-05-01,B_on,BE,20250501-0000,80.55
2025-05-01,B_on,BE,20250501-0300,80.55
2025-05-01,B_on,BE,20250501-0600,74.88
2025-05-01,B_on,BE,20250501-1400,16.11
2025-05-01,B_on,BE,20250501-1600,80.55
2025-05-01,B_on,DE_LU,20250501-1700,92.31
2025-05-01,B_on,DE_LU,20250501-1200,2.85
2025-05-01,B_on,DE_LU,20250501-0500,89.5
2025-05-01,B_on,DE_LU,20250501-2200,89.5
2025-05-01,B_on,DE_LU,20250501-2100,89.5
2025-05-01,B_on,DE_LU,20250501-1000,3.06
2025-05-01,B_on,DE_LU,20250501-1800,99.0
2025-05-01,B_on,DE_LU,20250501-2000,90.09
2025-05-01,B_on,DE_LU,20250501-1500,76.12
2025-05-01,B_on,DE_LU,20250501-1300,2.85
2025-05-01,B_on,DE_LU,20250501-0700,33.59
2025-05-01,B_on,DE_LU,20250501-0100,89.5
2025-05-01,B_on,DE_LU,20250501-0800,5.0
2025-05-01,B_on,DE_LU,20250501-0900,3.75
2025-05-01,B_on,DE_LU,20250501-1100,2.85
2025-05-01,B_on,DE_LU,20250501-0200,89.5
2025-05-01,B_on,DE_LU,20250501-2300,84.11
2025-05-01,B_on,DE_LU,20250501-0400,89.5
2025-05-01,B_on,DE_LU,20250501-1900,95.88
2025-05-01,B_on,DE_LU,20250501-0000,89.5
2025-05-01,B_on,DE_LU,20250501-0300,89.5
2025-05-01,B_on,DE_LU,20250501-0600,79.9
2025-05-01,B_on,DE_LU,20250501-1400,29.3
2025-05-01,B_on,DE_LU,20250501-1600,89.5
2025-05-01,B_on,DK1,20250501-1700,92.31
2025-05-01,B_on,DK1,20250501-1200,40.0
2025-05-01,B_on,DK1,20250501-0500,89.5
2025-05-01,B_on,DK1,20250501-2200,89.5
2025-05-01,B_on,DK1,20250501-2100,89.5
2025-05-01,B_on,DK1,20250501-1000,79.9
2025-05-01,B_on,DK1,20250501-1800,99.0
2025-05-01,B_on,DK1,20250501-2000,90.09
2025-05-01,B_on,DK1,20250501-1500,76.12
2025-05-01,B_on,DK1,20250501-1300,44.11
2025-05-01,B_on,DK1,20250501-0700,79.9
2025-05-01,B_on,DK1,20250501-0100,89.5
2025-05-01,B_on,DK1,20250501-0800,79.9
2025-05-01,B_on,DK1,20250501-0900,79.9
2025-05-01,B_on,DK1,20250501-1100,44.11
2025-05-01,B_on,DK1,20250501-0200,89.5
2025-05-01,B_on,DK1,20250501-2300,84.11
2025-05-01,B_on,DK1,20250501-0400,89.5
2025-05-01,B_on,DK1,20250501-1900,95.88
2025-05-01,B_on,DK1,20250501-0000,89.5
2025-05-01,B_on,DK1,20250501-0300,89.5
