zone,day,n_hours,model_max,actual_max,actual_mean_day
SI,2025-08-07,7,3000,177,70
SI,2025-08-08,1,3000,105,82
SI,2025-08-09,4,3000,111,68
SI,2025-08-10,6,3000,157,52
SI,2025-08-11,4,3000,248,85
SI,2025-08-19,1,3000,163,92
SI,2025-08-30,1,3000,104,73
SI,2025-09-01,1,3000,180,99
SI,2025-09-06,2,3000,154,76
SI,2025-09-09,1,512,139,138
SI,2025-09-23,1,3000,208,111
SI,2025-09-30,4,3000,358,150
SI,2025-10-05,1,3000,0,65
SI,2026-01-12,4,3000,279,181
SI,2026-01-13,2,569,317,218
SI,2026-01-14,3,633,221,166
SI,2026-01-19,3,635,215,146
SI,2026-01-20,2,724,245,160
