zone,ts,price
SK,20240822-2200,58.23
SK,20240822-1400,16.72
SK,20240822-1300,4.75
SK,20240822-2100,87.78
SK,20240822-0200,81.17
SK,20240822-2000,90.19
SK,20240822-0300,87.78
SK,20240822-0500,90.04
SK,20240822-0000,81.17
SK,20240822-0900,24.78
SK,20240822-1800,92.50999999999885
SK,20240822-0400,90.04
SK,20240822-1000,4.75
SK,20240822-1700,92.52
SK,20240822-0100,81.17
SK,20240822-1900,92.52
SK,20240822-1100,2.88
SK,20240822-1200,2.88
SK,20240822-0800,50.85
SK,20240822-1500,30.17
SK,20240822-0600,90.04
SK,20240822-0700,87.78
SK,20240822-1600,72.56
EE,20240822-2300,75.34
EE,20240822-2200,75.34
EE,20240822-1400,90.19
EE,20240822-1300,75.34
EE,20240822-2100,75.34
EE,20240822-0200,75.34
EE,20240822-2000,90.19
EE,20240822-0300,90.19
EE,20240822-0500,94.84
